Accelerometer,,,,,
time,x,y,z,,
1,8.696624756,0.709106445,-5.254364014,,
1,8.628036499,0.734268188,-5.186813354,,
9,8.579086304,0.769577026,-5.161361694,,
23,8.551864624,0.721817017,-5.13067627,,
43,8.544662476,0.647354126,-5.188583374,,
63,8.535247803,0.67729187,-5.239974976,,
82,8.500366211,0.69418335,-5.192169189,,
102,8.533843994,0.637878418,-5.194854736,,
121,8.575622559,0.595108032,-5.241500854,,
142,8.577346802,0.654464722,-5.228012085,,
162,8.613922119,0.73387146,-5.143173218,,
182,8.640289307,0.725479126,-5.124160767,,
202,8.670166016,0.634933472,-5.183273315,,
221,8.62991333,0.618774414,-5.13104248,,
240,8.5572052,0.640106201,-5.079986572,,
261,8.591751099,0.634567261,-5.123703003,,
282,8.724639893,0.667175293,-5.127975464,,
300,8.793777466,0.686080933,-5.066711426,,
323,8.808563232,0.668334961,-5.017089844,,
340,8.809646606,0.610778809,-5.005905151,,
359,8.789352417,0.613037109,-5.002334595,,
378,8.79385376,0.623855591,-4.934814453,,
404,8.833007813,0.606018066,-4.941925049,,
420,8.807617188,0.67628479,-4.846633911,,
438,8.724533081,0.628890991,-4.936981201,,
458,8.715118408,0.607269287,-4.966781616,,
477,8.730743408,0.549560547,-5.017883301,,
497,8.786239624,0.582229614,-4.960830688,,
522,8.794509888,0.621810913,-5.036575317,,
539,8.887771606,0.576171875,-5.030685425,,
557,8.733779907,0.531768799,-5.043304443,,
576,8.60206604,0.532043457,-5.018325806,,
596,8.466217041,0.57019043,-5.072555542,,
638,8.540664673,0.512466431,-5.092330933,,
655,8.569107056,0.595367432,-5.018447876,,
675,8.52822876,0.631057739,-5.030792236,,
694,8.613586426,0.654586792,-4.976013184,,
715,8.689559937,0.675033569,-5.041610718,,
734,8.871185303,0.739196777,-5.000534058,,
757,8.886764526,0.747817993,-4.976104736,,
775,8.857040405,0.690841675,-4.858322144,,
794,8.801620483,0.639221191,-4.875534058,,
813,8.804138184,0.641143799,-4.955932617,,
832,8.730529785,0.638946533,-4.978485107,,
852,8.543838501,0.598800659,-5.01133728,,
876,8.391021729,0.588928223,-5.012145996,,
893,8.210128784,0.609130859,-5.107254028,,
912,8.058853149,0.584991455,-5.12663269,,
931,7.928207397,0.596313477,-5.190429688,,
951,7.778289795,0.61932373,-5.226989746,,
971,7.662506104,0.660049438,-5.197814941,,
991,7.464248657,0.639541626,-5.135421753,,
1010,7.242050171,0.634460449,-4.887649536,,
1030,7.168151855,0.589370728,-4.597183228,,
1050,7.32472229,0.334533691,-4.409225464,,
1069,7.663513184,0.315582275,-4.091461182,,
1089,7.948486328,0.496398926,-3.605056763,,
1111,7.995925903,0.510437012,-3.245269775,,
