Accelerometer,,,,,
time,x,y,z,,
0,9.041885376,0.43951416,-4.274139404,,
0,9.085174561,0.395553589,-4.301345825,,
0,9.098831177,0.402862549,-4.352966309,,
9,9.142929077,0.417312622,-4.37210083,,
29,9.179824829,0.504684448,-4.264755249,,
68,9.15196228,0.543945313,-4.158615112,,
88,9.178634644,0.535461426,-4.176483154,,
107,9.200119019,0.489257813,-4.220504761,,
127,9.169906616,0.490310669,-4.224700928,,
147,9.156814575,0.503540039,-4.245452881,,
168,9.129226685,0.506378174,-4.218063354,,
189,9.073516846,0.532073975,-4.241531372,,
206,9.101852417,0.564880371,-4.178359985,,
226,9.101638794,0.578994751,-4.246231079,,
245,9.143768311,0.555847168,-4.31338501,,
265,9.097595215,0.613693237,-4.328979492,,
286,9.073181152,0.667312622,-4.293304443,,
305,9.091644287,0.703063965,-4.197418213,,
324,9.158187866,0.749725342,-4.164489746,,
344,9.133270264,0.910949707,-4.190887451,,
364,9.079467773,1.077194214,-4.095535278,,
383,9.097488403,1.193084717,-3.995391846,,
404,9.14906311,1.43145752,-3.725372314,,
422,9.108123779,1.746780396,-3.424636841,,
443,8.993286133,1.770568848,-3.313110352,,
462,9.034881592,1.502334595,-3.382965088,,
482,9.406570435,0.878997803,-3.744125366,,
502,9.519744873,0.771591187,-3.186065674,,
523,9.023712158,0.680282593,-2.956756592,,
541,9.120605469,0.257919312,-3.35269165,,
561,9.705184937,0.467987061,-2.820098877,,
581,9.518798828,0.191131592,-2.873199463,,
600,9.128967285,-0.090515137,-2.931854248,,
620,9.183013916,-0.068725586,-2.844421387,,
641,9.359359741,-0.4712677,-2.917953491,,
659,9.458755493,-1.229293823,-2.732315063,,
680,9.889953613,-1.538085938,-2.194885254,,
699,9.59992981,-1.973236084,-1.877609253,,
719,9.584350586,-1.990722656,-2.30279541,,
738,9.84828186,-2.486434937,-3.386627197,,
758,9.225463867,-2.970794678,-3.20791626,,
777,8.891662598,-3.396881104,-2.183242798,,
797,9.183639526,-4.201477051,-2.723953247,,
817,9.418334961,-4.606399536,-2.949310303,,
836,9.442733765,-4.777587891,-2.921417236,,
856,9.122619629,-4.842346191,-3.235473633,,
876,9.085281372,-4.746368408,-2.590957642,,
896,9.076095581,-4.614212036,-2.958328247,,
916,8.908248901,-4.763000488,-3.065109253,,
935,8.739105225,-4.773712158,-2.940933228,,
974,8.878372192,-4.887557983,-2.872711182,,
994,8.908950806,-5.22883606,-3.22038269,,
1015,8.973617554,-5.185089111,-3.150115967,,
1034,8.994735718,-5.34992981,-3.152252197,,
1053,9.188201904,-5.440185547,-3.014862061,,
