Accelerometer,,,,,
time,x,y,z,,
0,9.643325806,0.504974365,-3.072219849,,
1,9.807373047,0.625900269,-3.17868042,,
1,9.886535645,0.677642822,-3.228149414,,
1,9.348617554,0.592971802,-3.23614502,,
18,10.69586182,0.722229004,-3.134292603,,
36,9.304229736,-0.430374146,-2.744232178,,
56,13.13742065,1.17539978,-3.907287598,,
79,14.6282959,1.058654785,-3.983779907,,
95,5.898513794,-1.301925659,-2.764205933,,
115,14.59828186,1.692947388,-4.858505249,,
137,6.84588623,1.961685181,-1.890365601,,
155,2.966583252,-1.077758789,-0.591812134,,
174,6.555480957,-2.587371826,-2.411499023,,
195,10.22010803,-2.363830566,-5.306396484,,
214,13.08676147,-1.860656738,-6.563522339,,
234,14.79179382,-1.134521484,-7.307479858,,
253,16.3924408,-0.140884399,-7.401794434,,
293,16.91012573,0.638336182,-7.330215454,,
314,17.13432312,1.298324585,-7.628601074,,
333,17.28892517,2.130172729,-7.138183594,,
351,16.09767151,2.737457275,-6.532592773,,
372,6.835510254,0.850357056,-3.341491699,,
391,10.70880127,-0.350036621,-3.218002319,,
410,9.181518555,-0.723800659,-2.904190063,,
432,10.18008423,0.06401062,-2.992095947,,
452,9.78767395,0.912841797,-3.156265259,,
470,9.954299927,0.244171143,-3.181747437,,
490,9.027023315,-0.160980225,-3.216567993,,
509,9.525344849,0.196243286,-2.960159302,,
530,10.39356995,2.561523438,-3.425170898,,
550,9.726547241,2.585128784,-3.61088562,,
568,12.14625549,1.646896362,-4.050674438,,
588,10.38093567,0.037094116,-3.543823242,,
608,9.025314331,1.348434448,-3.365859985,,
627,7.255950928,-0.477981567,-2.10597229,,
647,10.49739075,1.435501099,-3.935455322,,
669,8.332397461,0.175369263,-3.648696899,,
688,5.44392395,-1.563018799,-2.997802734,,
706,4.475341797,-0.696685791,-2.863464355,,
726,9.508728027,1.068740845,-4.593231201,,
745,8.145278931,1.008834839,-3.271118164,,
