Accelerometer,,,,,
time,x,y,z,,
0,10.12046814,0.473068237,-0.790710449,,
0,10.09429932,0.485244751,-0.785827637,,
0,10.02340698,0.358963013,-0.802581787,,
1,9.936660767,0.38583374,-0.740768433,,
1,9.98991394,0.4269104,-0.762069702,,
16,10.10772705,0.191543579,-0.833450317,,
25,10.0897522,0.26499939,-0.778717041,,
59,10.07540894,0.267868042,-0.889724731,,
85,10.11483765,0.318267822,-0.80770874,,
110,10.20271301,0.330886841,-0.765899658,,
124,10.21496582,0.383483887,-0.693145752,,
143,10.13642883,0.401184082,-0.770172119,,
163,10.08180237,0.37059021,-0.814086914,,
186,10.01954651,0.188537598,-0.670150757,,
203,10.06663513,0.329101563,-0.751159668,,
222,10.10261536,0.326553345,-0.713363647,,
242,10.06864929,0.277053833,-0.798904419,,
262,10.12059021,0.251815796,-0.825408936,,
282,10.12583923,0.314239502,-0.861740112,,
303,10.05155945,0.450469971,-0.792984009,,
322,10.13595581,0.387481689,-0.791366577,,
340,10.14901733,0.309936523,-0.766403198,,
360,10.10540771,0.381347656,-0.761444092,,
379,10.04882813,0.544128418,-0.765304565,,
399,10.09306335,0.571533203,-0.773132324,,
419,10.26878357,0.508651733,-0.814071655,,
438,10.26954651,0.555053711,-0.801971436,,
458,10.15853882,0.71673584,-0.76083374,,
478,10.05937195,0.838775635,-0.721343994,,
497,10.04289246,0.891479492,-0.66897583,,
517,10.11647034,0.949325562,-0.598480225,,
536,10.15319824,1.097061157,-0.59022522,,
559,10.17912292,1.267150879,-0.573165894,,
577,10.24227905,1.281723022,-0.460739136,,
596,10.13456726,1.173629761,-0.41746521,,
615,10.04992676,0.947311401,-0.489730835,,
635,10.02088928,0.736831665,-0.569824219,,
655,9.995193481,0.622329712,-0.602813721,,
675,10.03361511,0.749969482,-0.56477356,,
695,10.02789307,0.97177124,-0.402786255,,
715,10.07774353,0.998260498,-0.488693237,,
734,10.15956116,0.918197632,-0.288803101,,
754,10.08421326,0.831268311,-0.248321533,,
773,10.18115234,0.801147461,-0.262451172,,
799,10.09912109,0.798706055,-0.155563354,,
