Accelerometer,,,,,
time,x,y,z,,
0,9.675247192,0.365280151,2.970535278,,
1,9.620117188,0.31803894,2.904312134,,
2,9.661560059,0.403198242,2.900909424,,
3,9.618743896,0.350250244,2.948806763,,
19,9.638183594,0.334014893,2.947647095,,
33,9.62387085,0.300201416,2.90725708,,
51,9.615447998,0.329284668,2.875991821,,
72,9.679794312,0.300247192,2.878173828,,
92,9.703903198,0.307250977,2.901153564,,
111,9.725418091,0.355163574,2.914382935,,
131,9.727462769,0.326065063,2.93321228,,
149,9.758895874,0.358718872,2.945098877,,
172,9.769439697,0.381118774,2.914031982,,
190,9.676208496,0.372161865,2.907806396,,
209,9.702728271,0.374221802,2.904663086,,
229,9.742965698,0.345657349,2.874740601,,
249,9.786499023,0.334701538,2.872955322,,
268,9.797988892,0.351257324,2.839691162,,
290,9.745361328,0.366256714,2.816970825,,
310,9.726882935,0.387893677,2.823806763,,
329,9.735351563,0.399932861,2.811645508,,
347,9.678710938,0.395950317,2.756439209,,
367,9.647399902,0.413360596,2.682373047,,
386,9.605056763,0.364685059,2.706802368,,
406,9.570632935,0.317764282,2.728683472,,
428,9.646362305,0.339675903,2.712677002,,
445,9.574691772,0.358581543,2.698150635,,
465,9.466445923,0.295791626,2.622665405,,
485,9.364562988,0.261978149,2.533035278,,
504,9.294921875,0.289764404,2.535339355,,
524,9.20980835,0.365936279,2.580612183,,
547,9.032562256,0.37059021,2.522537231,,
564,8.872589111,0.341842651,2.424499512,,
583,8.60319519,0.301727295,2.444137573,,
605,8.434509277,0.2943573,2.455688477,,
623,8.118362427,0.165786743,2.504394531,,
643,7.796295166,0.066818237,2.586837769,,
664,7.631729126,0.033752441,2.668838501,,
683,7.537277222,0.319030762,2.572906494,,
721,7.380828857,0.479827881,2.818893433,,
740,7.42010498,0.541000366,3.154937744,,
760,7.156997681,0.320419312,3.593307495,,
780,6.776321411,0.077224731,4.369415283,,
801,6.438034058,-0.206558228,4.41835022,,
819,6.493255615,0.282775879,4.599655151,,
839,6.34362793,0.811233521,5.573471069,,
858,6.397277832,0.738769531,5.160461426,,
878,6.054107666,0.043930054,7.008529663,,
902,6.52003479,0.036575317,7.558731079,,
918,7.394927979,0.182174683,9.71383667,,
937,7.839660645,0.534454346,12.09042358,,
958,8.39881897,0.83454895,13.02095032,,
977,9.929397583,1.095443726,12.37461853,,
997,8.99822998,0.064346313,13.57208252,,
1019,8.899414063,0.176925659,13.98246765,,
1038,8.289886475,0.444198608,13.96990967,,
1056,8.211013794,0.421844482,13.23176575,,
1076,7.895202637,0.403427124,12.14450073,,
1095,7.492477417,0.303665161,11.16604614,,
1114,7.223312378,0.159683228,10.46260071,,
1140,7.220550537,0.034622192,10.28933716,,
1156,7.336074829,-0.041870117,9.756820679,,
1174,7.43888855,-0.0078125,8.90562439,,
1195,7.408630371,-0.088409424,8.318496704,,
1213,7.534881592,-0.016159058,7.206466675,,
1233,7.217529297,0.077575684,6.450881958,,
1256,6.91242981,0.171691895,5.678604126,,
1275,7.175033569,0.093444824,4.598205566,,
1292,7.447967529,0.117050171,3.974060059,,
1312,7.551620483,0.393936157,3.85546875,,
1331,7.678283691,0.519561768,3.271255493,,
1351,7.953460693,0.203338623,2.638137817,,
1374,7.835144043,0.146255493,2.338470459,,
1392,8.18611145,0.21723938,1.847900391,,
1410,8.385559082,0.19821167,1.461578369,,
1430,8.463760376,0.304367065,1.132232666,,
1450,8.413970947,0.528564453,0.740112305,,
1469,8.455673218,0.553024292,0.236160278,,
1493,8.166381836,0.349365234,1.177871704,,
1512,9.001403809,0.355010986,-0.45199585,,
1528,8.667007446,0.508758545,-0.672134399,,
1549,8.865753174,0.571670532,-0.702865601,,
1568,8.978317261,0.579605103,-0.751205444,,
1612,8.755355835,0.503067017,-0.926223755,,
1630,9.002456665,0.400939941,-0.987136841,,
1647,9.090606689,0.364486694,-0.90222168,,
1667,9.213363647,0.247009277,-0.959396362,,
1686,9.453521729,0.157501221,-1.080734253,,
1705,9.500976563,0.237213135,-0.829605103,,
1726,9.701217651,0.278594971,-0.640396118,,
1747,9.77432251,0.295669556,-0.596603394,,
1766,9.91293335,0.29536438,-0.385772705,,
1785,10.13188171,0.431274414,-0.208602905,,
1804,10.1789093,0.387039185,-0.151580811,,
1824,10.21696472,0.339263916,-0.058273315,,
1844,10.1804657,0.336410522,-0.014648438,,
1867,10.11061096,0.396957397,0.130340576,,
1884,10.16113281,0.45501709,0.29699707,,
1904,10.09843445,0.380615234,0.403823853,,
1923,10.02191162,0.346755981,0.524902344,,
1942,10.14505005,0.452163696,0.63142395,,
1962,10.26356506,0.457290649,0.692703247,,
1985,10.35466003,0.386306763,0.715805054,,
2008,10.32225037,0.333267212,0.788696289,,
2021,10.16001892,0.356567383,0.876739502,,
2040,10.1300354,0.348068237,1.003570557,,
