Accelerometer,,,,,
time,x,y,z,,
0,9.896179199,0.401351929,1.98828125,,
0,9.916305542,0.362533569,1.99571228,,
1,9.933807373,0.405578613,1.996490479,,
1,9.930435181,0.398590088,1.982650757,,
1,9.957107544,0.36227417,2.024368286,,
31,9.980041504,0.331710815,1.869293213,,
36,9.872833252,0.377548218,1.957229614,,
55,9.872299194,0.399780273,1.944381714,,
77,9.938339233,0.424316406,1.930206299,,
95,10.00158691,0.439224243,1.996932983,,
114,10.00860596,0.411392212,2.051559448,,
135,9.969619751,0.37008667,2.111938477,,
154,9.927246094,0.345947266,2.022171021,,
174,9.923995972,0.401031494,2.005889893,,
194,9.923568726,0.481369019,2.079574585,,
214,9.949234009,0.543899536,2.172576904,,
233,9.952590942,0.566070557,2.24005127,,
253,9.886535645,0.568557739,2.235397339,,
272,9.88269043,0.602676392,2.240783691,,
292,9.840698242,0.750946045,2.278564453,,
315,9.891418457,0.924957275,2.540176392,,
332,10.16758728,1.090560913,2.593643188,,
353,10.08093262,1.124679565,2.39352417,,
372,9.804916382,1.184036255,2.282073975,,
390,9.634597778,1.446502686,2.46055603,,
410,9.693878174,1.830581665,2.795684814,,
434,10.18669128,2.666687012,2.8306427,,
450,10.01113892,2.641403198,3.036483765,,
469,9.639144897,2.296890259,3.132583618,,
489,9.48600769,2.326553345,3.22744751,,
509,9.596038818,2.438873291,3.575241089,,
528,9.803359985,2.533935547,3.886138916,,
551,9.548950195,2.548690796,4.042678833,,
570,9.300704956,2.507766724,4.306716919,,
587,9.20375061,1.883468628,4.136276245,,
607,9.518081665,0.979980469,4.133651733,,
627,9.024612427,-1.014465332,2.1328125,,
646,10.26301575,-0.075073242,4.475082397,,
670,11.38117981,-2.477615356,1.240463257,,
688,11.14491272,-3.869293213,0.26385498,,
726,10.44786072,-4.387268066,1.724761963,,
745,10.32649231,-3.159713745,1.453948975,,
767,9.326248169,-2.910095215,1.520385742,,
788,9.777572632,-2.234909058,-0.062698364,,
806,10.05104065,-2.317382813,-0.011856079,,
824,9.547348022,-2.493057251,0.567687988,,
844,9.514007568,-2.206893921,0.627960205,,
863,9.753097534,-1.974212646,1.123428345,,
882,10.16065979,-1.833236694,1.235183716,,
908,10.31204224,-1.549545288,1.554122925,,
927,10.30177307,-1.796401978,1.772918701,,
942,10.19032288,-1.69519043,2.531265259,,
963,10.25601196,-1.7449646,3.24369812,,
981,10.00238037,-1.924316406,3.505264282,,
1002,9.558380127,-2.121566772,3.721237183,,
1025,9.197235107,-1.954849243,4.36026001,,
1041,9.185958862,-1.640319824,5.175048828,,
1060,9.453018188,-1.605407715,5.356201172,,
1080,9.67956543,-1.989746094,5.03112793,,
1099,9.530258179,-1.869644165,5.025604248,,
1119,9.621490479,-1.053619385,5.798339844,,
1138,9.938156128,-0.425888062,6.011245728,,
1161,9.975814819,-0.178283691,5.152587891,,
1178,10.06748962,-0.108840942,4.706954956,,
1198,9.918121338,-0.041381836,4.56817627,,
1217,9.549835205,0.268188477,4.127182007,,
1236,9.11328125,0.731765747,3.868026733,,
1257,9.071273804,1.245040894,3.693084717,,
1281,9.551391602,2.164855957,3.37651062,,
1297,10.24246216,3.465560913,2.907363892,,
1316,10.12791443,3.833709717,3.029327393,,
1335,10.02789307,3.670608521,2.357879639,,
1355,10.07951355,2.789291382,1.706741333,,
1375,9.76600647,3.047698975,1.151367188,,
